sensorType,deploymentType,eventName,collectionCondition,housingType,sensorBrand,statusId,timeStamp,site_no,latitude,longitude,siteDescription,networkNames,stateName,countyName,siteWaterbody,siteHDatum,sitePriorityName,siteZone,siteHCollectMethod,sitePermHousing,instrument_id,sensor_type_id,deployment_type_id,location_description,serial_number,housing_serial_number,interval,site_id,event_id,inst_collection_id,housing_type_id,sensor_brand_id,vented,last_updated,last_updated_by,instr_collection_conditions,sensor_brand,sensor_type,housing_type,deployment_type,instrument_status,data_files,files,event,site,Links
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,2,5/21/13 20:21,FLBRE03160,27.9215,-80.51941,Fisherman's Landing Park,South Atlantic,FL,Brevard County,Indian River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,22,1,1,"ON FIRST PILING OF PIER 1, CLOSEST TO THE PARKING LOT ON THE LEFT SIDE.",102382,,30,3160,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,2,5/21/13 23:00,FLBRE03152,28.35849,-80.67858,"George L. Reynolds Boat Ramp, 1.3 mi east of intersection of SR3 and SR 520, turn North on Kiwanis Island Park Rd, ramp is 500 ft ahead on left
2 wooden docks w/ multiple plings at boat ramp, Sykes Creek",South Atlantic,FL,Brevard County,Sykes Creek,WGS84 (from Digital Map),,,Map (digital or paper),Yes,23,1,1,same location as another,2238123,,30,3152,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,2,5/21/13 23:10,FLIND03149,27.85508,-80.45208,"Sebastian Inlet State Park,",South Atlantic,FL,Indian River County,Sebastian Inlet intracoastal,NAD83,,,Handheld GPS,Yes,24,1,1,"EAST SIDE OF FISHING DOCK, SECOND CROSS MEMBER FROM SIDEWALK 1",1028477,,30,3149,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,Wilma,Brackish Water,,,2,10/25/05 0:00,FLCOL03148,26.04606,-81.70845,Hendersen Creek at KOA Campground boat ramp.,Gulf of Mexico,FL,Collier County,Hendersen Creek,NAD83,,,Map (digital or paper),Yes,25,1,1,Strapped to landward-most wooden piling on upstream side of boat ramp. Angle iron at 1.8 ft above LS,911334,,30,3148,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,1,10/5/16 18:00,FLIND03149,27.85508,-80.45208,"Sebastian Inlet State Park,",South Atlantic,FL,Indian River County,Sebastian Inlet intracoastal,NAD83,,,Handheld GPS,Yes,26,1,1,"EAST SIDE OF FISHING DOCK, SECOND CROSS MEMBER FROM SIDEWALK",1028477,,30,3149,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,,2,5/21/13 23:48,FLBRE03151,28.355,-80.72217,Lee Wenner Park,South Atlantic,FL,Brevard County,Indian River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,27,1,1,,1028496,WSH-13832,30,3151,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,1,10/5/16 18:00,FLBRE03152,28.35849,-80.67858,"George L. Reynolds Boat Ramp, 1.3 mi east of intersection of SR3 and SR 520, turn North on Kiwanis Island Park Rd, ramp is 500 ft ahead on left
2 wooden docks w/ multiple plings at boat ramp, Sykes Creek",South Atlantic,FL,Brevard County,Sykes Creek,WGS84 (from Digital Map),,,Map (digital or paper),Yes,28,1,1,,2238123,,30,3152,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,Saline Water,,,2,5/21/13 22:10,FLBRE03153,28.3572,-80.62858,Constitution Bicentennial Boat Ramp,South Atlantic,FL,Brevard County,Banana River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,29,1,1,on dock,2238139,WSH 13840,30,3153,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,Saline Water,,,2,5/21/13 19:40,FLBRE03154,28.20669,-80.66137,Boat Ramp at POW/MIA Park,South Atlantic,FL,Brevard County,Indian River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,30,1,1,on dock @ boat ramp,2238154,WSH 13815,30,3154,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,Saline Water,,,2,5/21/13 18:02,FLBRE03157,28.07962,-80.59973,"Claude Edge Front St Park, on Front St. south of US 192 before the bridge if traveling East (heavy road construction, some roads closed)
Many wooden pilings at boat ramp",South Atlantic,FL,Brevard County,Indian River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,32,1,1,On piling of dock.,1028500,WSH 13824,30,3157,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,Ike,Fresh Water,,,2,9/12/14 8:34,TXBRA04315,29.28667,-95.13139,,,TX,Brazoria County,Halls Bayou,NAD83,,,Map (digital or paper),Yes,598,1,1,SSS-TX-BRA-007,,,60,4315,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Ike,Air,,,2,9/12/14 8:33,TXBRA04315,29.28667,-95.13139,,,TX,Brazoria County,Halls Bayou,NAD83,,,Map (digital or paper),Yes,599,1,3,SSS-TX-BRA-007,,,60,4315,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Ike,Fresh Water,,,2,9/12/14 8:32,TXBRA04316,29.03556,-95.39889,,,TX,Brazoria County,Oyster Creek,NAD83,,,Map (digital or paper),Yes,600,1,1,SSS-TX-BRA-008,,,60,4316,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Ike,Air,,,2,9/12/14 8:45,TXBRA04316,29.03556,-95.39889,,,TX,Brazoria County,Oyster Creek,NAD83,,,Map (digital or paper),Yes,601,1,3,SSS-TX-BRA-008,,,60,4316,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Ike,Fresh Water,,,2,9/12/14 8:38,TXBRA04317,29.01306,-95.32972,,,TX,Brazoria County,Oyster Creek,NAD83,,,Map (digital or paper),Yes,602,1,1,SSS-TX-BRA-009,,,60,4317,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Ike,Air,,,2,9/12/14 8:42,TXBRA04317,29.01306,-95.32972,,,TX,Brazoria County,Oyster Creek,NAD83,,,Map (digital or paper),Yes,603,1,3,SSS-TX-BRA-009,,,60,4317,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Ike,Fresh Water,,,2,9/12/14 8:42,TXBRA04318,29.33639,-95.28417,,,TX,Brazoria County,Chocolate Bayou,NAD83,,,Map (digital or paper),Yes,604,1,1,SSS-TX-BRA-010,,,60,4318,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Ike,Air,,,2,9/12/14 8:42,TXBRA04318,29.33639,-95.28417,,,TX,Brazoria County,Chocolate Bayou,NAD83,,,Map (digital or paper),Yes,605,1,3,SSS-TX-BRA-010,,,60,4318,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Ike,Fresh Water,,,2,9/12/14 8:35,TXBRA04319,29.2967,-95.35663,Austin Bayou on Garrett Rd near Angleton,,TX,Brazoria County,Gulf of Mexico,NAD83,,,Map (digital or paper),No,606,1,1,SSS-TX-BRA-011,,,60,4319,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Ike,Air,,,2,9/12/14 8:41,TXBRA04319,29.2967,-95.35663,Austin Bayou on Garrett Rd near Angleton,,TX,Brazoria County,Gulf of Mexico,NAD83,,,Map (digital or paper),No,607,1,3,SSS-TX-BRA-011,,,60,4319,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Ike,Brackish Water,,,2,9/12/14 8:38,TXCAL04320,28.40639,-96.71167,,,TX,Calhoun County,San Antonio Bay,NAD83,,,Map (digital or paper),Yes,608,1,1,SSS-TX-CAL-001,,,60,4320,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Ike,Air,,,2,9/12/14 8:44,TXCAL04320,28.40639,-96.71167,,,TX,Calhoun County,San Antonio Bay,NAD83,,,Map (digital or paper),Yes,609,1,3,SSS-TX-CAL-001,,,60,4320,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Ike,Brackish Water,,,2,9/12/14 8:35,TXCAL04321,28.44444,-96.4025,,,TX,Calhoun County,Matagorda Bay,NAD83,,,Map (digital or paper),Yes,610,1,1,SSS-TX-CAL-002,,,60,4321,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Ike,Air,,,2,9/12/14 8:40,TXCAL04321,28.44444,-96.4025,,,TX,Calhoun County,Matagorda Bay,NAD83,,,Map (digital or paper),Yes,611,1,3,SSS-TX-CAL-002,,,60,4321,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Ike,Brackish Water,,,2,9/12/14 8:44,TXCAL04322,28.61917,-96.61972,,,TX,Calhoun County,Lavaca Bay,NAD83,,,Map (digital or paper),Yes,612,1,1,SSS-TX-CAL-003,,,60,4322,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Ike,Air,,,2,9/12/14 8:39,TXCAL04322,28.61917,-96.61972,,,TX,Calhoun County,Lavaca Bay,NAD83,,,Map (digital or paper),Yes,613,1,3,SSS-TX-CAL-003,,,60,4322,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Ike,Brackish Water,,,2,9/12/14 8:46,TXCAL04323,28.66056,-96.41167,,,TX,Calhoun County,Carancahua Bay,NAD83,,,Map (digital or paper),Yes,614,1,1,SSS-TX-CAL-004,,,60,4323,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Ike,Air,,,2,9/12/14 8:38,TXCAL04323,28.66056,-96.41167,,,TX,Calhoun County,Carancahua Bay,NAD83,,,Map (digital or paper),Yes,615,1,3,SSS-TX-CAL-004,,,60,4323,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Ike,Brackish Water,,,2,9/12/14 8:45,TXCAL04324,28.64139,-96.32333,,,TX,Calhoun County,Matagorda Bay,NAD83,,,Map (digital or paper),Yes,616,1,1,SSS-TX-CAL-005,,,60,4324,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Ike,Air,,,2,9/12/14 8:48,TXCAL04324,28.64139,-96.32333,,,TX,Calhoun County,Matagorda Bay,NAD83,,,Map (digital or paper),Yes,617,1,3,SSS-TX-CAL-005,,,60,4324,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Ike,Brackish Water,,,2,9/12/14 8:38,TXCHA04325,29.60417,-94.67528,,,TX,Chambers County,Lone Oak Bayou,NAD83,,,Map (digital or paper),Yes,618,1,1,SSS-TX-CHA-003,,,60,4325,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Ike,Air,,,2,9/12/14 8:33,TXCHA04325,29.60417,-94.67528,,,TX,Chambers County,Lone Oak Bayou,NAD83,,,Map (digital or paper),Yes,619,1,3,SSS-TX-CHA-003,,,60,4325,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
