name,lat,lng,class,flowinfo,url
"USGS 08050400 Elm Fk Trinity Rv at Gainesville, TX",33.62427479,-97.15640160,7,"Discharge: 52.21 cfs;Date: 2019-08-31;Percentile: 95.21 %;Class: Much above normal;% normal(median): 1992.75%;% normal(mean): 603.58%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08050400
"USGS 08061551 E Fk Trinity Rv blw Lk Ray Hubbard nr Forney, TX",32.79861110,-96.49416670,0,"Discharge: 14.77 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 44.73%;% normal(mean): 49.04%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08061551
"USGS 08108780 Little Brazos Rv at FM 485 nr Hearne, TX",30.87944444,-96.64027780,0,"!!Hydrograph??wwapps/ww_chart.php?i=nwis&vt=dv&ot=q&site_no=08108780??image??https://waterdata.usgs.gov/tx/nwis/dv?site_no=08108780",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08108780
"USGS 08204005 Leona Rv nr Uvalde, TX",29.15440770,-99.74338880,0,"Discharge: 26.12 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 929.54%;% normal(mean): 168.30%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08204005
"USGS 08126380 Colorado Rv nr Ballinger, TX",31.71542973,-100.02647550,5,"Discharge: 5.79 cfs;Date: 2019-08-31;Percentile: 34.67 %;Class: Normal;% normal(median): 33.43%;% normal(mean): 6.59%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08126380
"USGS 08093360 Aquilla Ck abv Aquilla, TX",31.89543620,-97.20306340,0,"Discharge: 2.04 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 113.33%;% normal(mean): 13.51%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08093360
"USGS 08050840 Range Ck nr Collinsville, TX",33.52622016,-96.80721910,0,"Discharge: 0.07 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): %;% normal(mean): 1.34%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08050840
"USGS 08194200 San Casimiro Ck nr Freer, TX",27.96501329,-98.96696780,0,"!!Hydrograph??wwapps/ww_chart.php?i=nwis&vt=dv&ot=q&site_no=08194200??image??https://waterdata.usgs.gov/tx/nwis/dv?site_no=08194200",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08194200
"USGS 08174550 Peach Creek at Hwy 90 nr Waelder, TX",29.68580278,-97.23081670,0,"Discharge: 0.00 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 0.00%;% normal(mean): 0.00%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08174550
"USGS 08212300 Tranquitas Ck at Kingsville, TX",27.52614624,-97.86749820,0,"Discharge: 0.30 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 31.91%;% normal(mean): 13.16%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08212300
"USGS 08105095 Berry Ck at Airport Rd nr Georgetown, TX",30.70324685,-97.66639850,0,"Discharge: 0.29 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): %;% normal(mean): 2.69%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08105095
"USGS 0810464660 N Fk San Gabriel Rv at Reagan Blvd nr Leander, TX",30.69775000,-97.84922220,0,"Discharge: 2.67 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 1112.50%;% normal(mean): 29.02%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=0810464660
"USGS 08158930 Williamson Ck at Manchaca Rd, Austin, TX",30.22132064,-97.79361680,0,"Discharge: 0.00 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 0.00%;% normal(mean): 0.00%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08158930
"USGS 08076997 Clear Ck at Mykawa St nr Pearland, TX",29.59689910,-95.29743660,0,"Discharge: 21.76 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 101.45%;% normal(mean): 27.11%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08076997
"USGS 08181500 Medina Rv at San Antonio, TX",29.26412760,-98.49084930,5,"Discharge: 95.74 cfs;Date: 2019-08-31;Percentile: 51.86 %;Class: Normal;% normal(median): 106.39%;% normal(mean): 48.77%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08181500
"USGS 08062800 Cedar Ck nr Kemp, TX",32.50347129,-96.11275080,5,"Discharge: 0.74 cfs;Date: 2019-08-31;Percentile: 65.39 %;Class: Normal;% normal(median): 321.74%;% normal(mean): 17.87%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08062800
"USGS 08083240 Clear Fk Brazos Rv at Hwy 83 nr Hawley, TX",32.59850000,-99.81455560,0,"Discharge: 22.35 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 127.06%;% normal(mean): 40.53%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08083240
"USGS 08041500 Village Ck nr Kountze, TX",30.39798620,-94.26352150,5,"Discharge: 245.45 cfs;Date: 2019-08-31;Percentile: 73.73 %;Class: Normal;% normal(median): 169.25%;% normal(mean): 62.91%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08041500
"USGS 08042800 W Fk Trinity Rv nr Jacksboro, TX",33.29177926,-98.08059790,5,"Discharge: 3.40 cfs;Date: 2019-08-31;Percentile: 56.37 %;Class: Normal;% normal(median): 400.00%;% normal(mean): 11.77%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08042800
"USGS 08020900 Sabine Rv bl Longview, TX",32.41681793,-94.70993240,0,"Discharge: 243.10 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 156.22%;% normal(mean): 69.34%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08020900
"USGS 08168710 Comal Spgs at New Braunfels, TX",29.70605788,-98.12250850,5,"Discharge: 302.11 cfs;Date: 2019-08-31;Percentile: 60.68 %;Class: Normal;% normal(median): 111.10%;% normal(mean): 118.06%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08168710
"USGS 08101000 Cowhouse Ck at Pidcoke, TX",31.28489020,-97.88502440,5,"Discharge: 7.53 cfs;Date: 2019-08-31;Percentile: 61.00 %;Class: Normal;% normal(median): 282.02%;% normal(mean): 25.99%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08101000
"USGS 08200977 Middle Verde Ck at SH 173 nr Bandera, TX",29.56777778,-99.09694440,0,"Discharge: 0.00 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 0.00%;% normal(mean): 0.00%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08200977
"USGS 08063048 White Rk Ck at FM 308 nr Irene, TX",31.97805556,-96.87333330,0,"Discharge: 1.19 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 330.56%;% normal(mean): 10.66%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08063048
"USGS 08155200 Barton Ck at SH 71 nr Oak Hill, TX",30.29631587,-97.92556500,5,"Discharge: 0.92 cfs;Date: 2019-08-31;Percentile: 51.19 %;Class: Normal;% normal(median): 105.75%;% normal(mean): 9.95%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08155200
"USGS 08178000 San Antonio Rv at San Antonio, TX",29.40967796,-98.49501700,5,"Discharge: 25.78 cfs;Date: 2019-08-31;Percentile: 53.45 %;Class: Normal;% normal(median): 104.63%;% normal(mean): 79.27%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08178000
"USGS 08162500 Colorado Rv nr Bay City, TX",28.97414620,-96.01245880,0,"!!Hydrograph??wwapps/ww_chart.php?i=nwis&vt=dv&ot=q&site_no=08162500??image??https://waterdata.usgs.gov/tx/nwis/dv?site_no=08162500",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08162500
"USGS 08040600 Neches Rv nr Town Bluff, TX",30.79103579,-94.15102370,5,"Discharge: 2494.89 cfs;Date: 2019-08-31;Percentile: 53.62 %;Class: Normal;% normal(median): 109.70%;% normal(mean): 92.39%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08040600
"USGS 08168932 Comal Rv (nc) nr Landa Lk, New Braunfels, TX",29.70896110,-98.13344170,0,"Discharge: 222.97 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 198.85%;% normal(mean): 167.06%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08168932
"USGS 08154700 Bull Ck at Loop 360 nr Austin, TX",30.37214825,-97.78473010,4,"Discharge: 0.11 cfs;Date: 2019-08-31;Percentile: 13.18 %;Class: Below normal;% normal(median): 8.21%;% normal(mean): 2.29%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08154700
"USGS 08177300 Perdido Ck at FM 622 nr Fannin, TX",28.75165640,-97.31721420,5,"Discharge: 0.01 cfs;Date: 2019-08-31;Percentile: 27.50 %;Class: Normal;% normal(median): 7.14%;% normal(mean): 0.71%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08177300
"USGS 08207500 Atascosa Rv nr McCoy, TX",28.86497693,-98.33834540,0,"Discharge: 0.03 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 2.54%;% normal(mean): 0.12%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08207500
"USGS 08096500 Brazos Rv at Waco, TX",31.53600056,-97.07333250,6,"Discharge: 1214.65 cfs;Date: 2019-08-31;Percentile: 80.42 %;Class: Above normal;% normal(median): 153.44%;% normal(mean): 115.04%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08096500
"USGS 08067650 W Fk San Jacinto Rv bl Lk Conroe nr Conroe, TX",30.34215289,-95.54299800,0,"Discharge: 331.07 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 1134.19%;% normal(mean): 587.42%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08067650
"USGS 08197500 Frio Rv bl Dry Frio Rv nr Uvalde, TX",29.24579340,-99.67449780,0,"Discharge: 0.00 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): %;% normal(mean): 0.00%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08197500
"USGS 08105888 Brushy Ck at Kenney Fort Blvd at Round Rock, TX",30.51239444,-97.63667220,0,"Discharge: 9.87 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 8.89%;% normal(mean): 7.54%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08105888
"USGS 08051135 Elm Fk Trinity Rv at Greenbelt nr Pilot Point, TX",33.34972220,-97.03555560,0,"Discharge: 17.05 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 34.61%;% normal(mean): 7.63%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08051135
"USGS 08103800 Lampasas Rv nr Kempner, TX",31.07934030,-98.01669190,5,"Discharge: 24.90 cfs;Date: 2019-08-31;Percentile: 59.08 %;Class: Normal;% normal(median): 124.69%;% normal(mean): 44.62%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08103800
"USGS 08075605 Berry Bayou at Nevada St, Houston, TX",29.65661915,-95.22910110,0,"Discharge: 5.90 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 120.90%;% normal(mean): 25.72%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08075605
"USGS 08025360 Sabine Rv at Toledo Bd Res nr Burkeville, TX",31.17379910,-93.56600770,5,"Discharge: 2012.39 cfs;Date: 2019-08-31;Percentile: 25.36 %;Class: Normal;% normal(median): 49.34%;% normal(mean): 55.58%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08025360
"USGS 08198500 Sabinal Rv at Sabinal, TX",29.31430556,-99.48047220,5,"Discharge: 1.86 cfs;Date: 2019-08-31;Percentile: 50.90 %;Class: Normal;% normal(median): 105.08%;% normal(mean): 6.30%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08198500
"USGS 08178593 Salado Ck at Blanco Rd. San Antonio, Tx",29.56386110,-98.51966670,0,"Discharge: 0.00 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 0.00%;% normal(mean): 0.00%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08178593
"USGS 08165500 Guadalupe Rv at Hunt, TX",30.06993074,-99.32171220,5,"Discharge: 31.96 cfs;Date: 2019-08-31;Percentile: 41.95 %;Class: Normal;% normal(median): 90.80%;% normal(mean): 38.59%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08165500
"USGS 08188060 San Antonio Rv at SH 72 nr Runge, TX",28.84869444,-97.73713890,0,"Discharge: 204.65 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 110.01%;% normal(mean): 33.38%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08188060
"USGS 08065200 Upper Keechi Ck nr Oakwood, TX",31.56989618,-95.88829380,6,"Discharge: 17.15 cfs;Date: 2019-08-31;Percentile: 83.31 %;Class: Above normal;% normal(median): 3175.93%;% normal(mean): 248.91%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08065200
"USGS 08057200 White Rk Ck at Greenville Ave, Dallas, TX",32.88929207,-96.75666640,5,"Discharge: 40.68 cfs;Date: 2019-08-31;Percentile: 70.14 %;Class: Normal;% normal(median): 155.74%;% normal(mean): 133.03%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08057200
"USGS 08166200 Guadalupe Rv at Kerrville, TX",30.05326600,-99.16337500,5,"Discharge: 76.31 cfs;Date: 2019-08-31;Percentile: 65.94 %;Class: Normal;% normal(median): 159.68%;% normal(mean): 86.74%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08166200
"USGS 08059000 E Fk Trinity Rv nr McKinney, TX",33.20372724,-96.59582400,6,"Discharge: 26.58 cfs;Date: 2019-08-31;Percentile: 82.18 %;Class: Above normal;% normal(median): 1940.15%;% normal(mean): 183.31%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08059000
"USGS 08158827 Onion Ck at Twin Creeks Rd nr Manchaca, TX",30.12632345,-97.82111610,0,"Discharge: 0.30 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 500.00%;% normal(mean): 1.47%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08158827
"USGS 08052780 Hickory Ck at Denton, TX",33.15178696,-97.14195730,0,"Discharge: 1.46 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 178.05%;% normal(mean): 10.53%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08052780
"USGS 08053500 Denton Ck nr Justin, TX",33.11901003,-97.29057320,5,"Discharge: 8.05 cfs;Date: 2019-08-31;Percentile: 68.59 %;Class: Normal;% normal(median): 516.03%;% normal(mean): 63.94%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08053500
"USGS 08110800 Navasota Rv at Old San Antonio Rd nr Bryan, TX",30.97379870,-96.24162740,0,"Discharge: 28.69 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 75.01%;% normal(mean): 31.55%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08110800
"USGS 08095400 Hog Ck nr Crawford, TX",31.55571990,-97.35640040,0,"Discharge: 0.56 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 350.00%;% normal(mean): 32.75%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08095400
"USGS 08072760 Langham Ck at W Little York Rd nr Addicks, TX",29.86717035,-95.64661200,0,"Discharge: 11.52 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 92.09%;% normal(mean): 17.19%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08072760
"USGS 08180586 San Geronimo Ck nr Helotes, TX",29.61972778,-98.79515280,0,"Discharge: 4.14 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 214.51%;% normal(mean): 230.00%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08180586
"USGS 08069000 Cypress Ck nr Westfield, TX",30.03577530,-95.42882700,5,"Discharge: 79.44 cfs;Date: 2019-08-31;Percentile: 64.36 %;Class: Normal;% normal(median): 160.26%;% normal(mean): 59.81%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08069000
"USGS 08163500 Lavaca Rv at Hallettsville, TX",29.44329730,-96.94498190,4,"Discharge: 0.67 cfs;Date: 2019-08-31;Percentile: 19.46 %;Class: Below normal;% normal(median): 27.92%;% normal(mean): 1.21%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08163500
"USGS 08159500 Colorado Rv at Smithville, TX",30.01272074,-97.16193210,4,"Discharge: 677.84 cfs;Date: 2019-08-31;Percentile: 13.04 %;Class: Below normal;% normal(median): 40.39%;% normal(mean): 36.15%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08159500
"USGS 08189700 Aransas Rv nr Skidmore, TX",28.28250426,-97.62082900,5,"Discharge: 3.35 cfs;Date: 2019-08-31;Percentile: 36.51 %;Class: Normal;% normal(median): 78.09%;% normal(mean): 18.61%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08189700
"USGS 08147000 Colorado Rv nr San Saba, TX",31.21794515,-98.56448400,5,"Discharge: 93.28 cfs;Date: 2019-08-31;Percentile: 33.56 %;Class: Normal;% normal(median): 52.87%;% normal(mean): 21.15%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08147000
"USGS 08140700 Pecan Bayou nr Cross Cut, TX",31.97264440,-99.13033760,0,"!!Hydrograph??wwapps/ww_chart.php?i=nwis&vt=dv&ot=q&site_no=08140700??image??https://waterdata.usgs.gov/tx/nwis/dv?site_no=08140700",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08140700
"USGS 08110000 Yegua Ck nr Somerville, TX",30.32187730,-96.50746830,7,"Discharge: 1254.03 cfs;Date: 2019-08-31;Percentile: 92.61 %;Class: Much above normal;% normal(median): 4856.82%;% normal(mean): 665.02%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08110000
"USGS 08171350 Blanco Rv at San Marcos, TX",29.87951110,-97.91075280,0,"Discharge: 2.38 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 6.55%;% normal(mean): 4.27%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08171350
"USGS 08116400 Dry Ck nr Rosenberg, TX",29.51190593,-95.74689420,6,"Discharge: 59.52 cfs;Date: 2019-08-31;Percentile: 77.26 %;Class: Above normal;% normal(median): 830.13%;% normal(mean): 190.16%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08116400
"USGS 08104700 N Fk San Gabriel Rv nr Georgetown, TX",30.66185920,-97.71139930,5,"Discharge: 2.28 cfs;Date: 2019-08-31;Percentile: 35.22 %;Class: Normal;% normal(median): 50.11%;% normal(mean): 11.41%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08104700
"USGS 08099100 Leon Rv nr De Leon, TX",32.17375020,-98.53310580,0,"Discharge: 0.00 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 0.00%;% normal(mean): 0.00%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08099100
"USGS 08080505 DMF Brazos Rv nr Rule, TX",33.18791667,-99.96013610,0,"Discharge: 24.18 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 52.91%;% normal(mean): 44.96%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08080505
"USGS 08086290 Big Sandy Ck abv Breckenridge, TX",32.64845613,-99.00451460,5,"Discharge: 0.23 cfs;Date: 2019-08-31;Percentile: 50.29 %;Class: Normal;% normal(median): 104.55%;% normal(mean): 1.46%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08086290
"USGS 08072300 Buffalo Bayou nr Katy, TX",29.74328664,-95.80689510,5,"Discharge: 8.87 cfs;Date: 2019-08-31;Percentile: 28.93 %;Class: Normal;% normal(median): 50.31%;% normal(mean): 13.58%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08072300
"USGS 08023400 Bayou San Patricio near Benson, LA",31.87516670,-93.65851499,6,"Discharge: 4.19 cfs;Date: 2019-08-31;Percentile: 75.02 %;Class: Above normal;% normal(median): 364.35%;% normal(mean): 23.55%;",https://waterdata.usgs.gov/la/nwis/dv?site_no=08023400
"USGS 08168797 Dry Comal Ck at Loop 337 nr New Braunfels, TX",29.68800000,-98.15483330,0,"Discharge: 0.00 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 0.00%;% normal(mean): 0.00%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08168797
"USGS 08074020 Whiteoak Bayou at Alabonson Rd, Houston, TX",29.87078073,-95.48049610,0,"Discharge: 55.57 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 121.12%;% normal(mean): 46.01%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08074020
"USGS 08049300 W Fk Trinity Rv at Greenbelt Rd, Fort Worth, TX",32.78846310,-97.14001110,0,"Discharge: 248.48 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 50.66%;% normal(mean): 46.93%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08049300
"USGS 08084000 Clear Fk Brazos Rv at Nugent, TX",32.69011860,-99.66953260,5,"Discharge: 27.64 cfs;Date: 2019-08-31;Percentile: 61.80 %;Class: Normal;% normal(median): 166.81%;% normal(mean): 46.80%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08084000
"USGS 08033000 Neches Rv nr Diboll, TX",31.13296574,-94.80993060,6,"Discharge: 293.65 cfs;Date: 2019-08-31;Percentile: 76.96 %;Class: Above normal;% normal(median): 242.11%;% normal(mean): 124.90%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08033000
"USGS 08150800 Beaver Ck nr Mason, TX",30.64351548,-99.09588480,5,"Discharge: 0.81 cfs;Date: 2019-08-31;Percentile: 39.46 %;Class: Normal;% normal(median): 34.47%;% normal(mean): 4.50%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08150800
"USGS 08073100 Langham Ck at Addicks Res Outflow nr Addicks, TX",29.79050608,-95.62411190,0,"Discharge: 64.30 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 68.04%;% normal(mean): 18.69%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08073100
"USGS 08068720 Cypress Ck at Katy-Hockley Rd nr Hockley, TX",29.95022370,-95.80828350,3,"Discharge: 0.03 cfs;Date: 2019-08-31;Percentile: 8.75 %;Class: Much below normal;% normal(median): 1.32%;% normal(mean): 0.12%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08068720
"USGS 08066175 Kickapoo Ck at Onalaska, TX",30.88675000,-95.08038890,0,"Discharge: 2.39 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 38.30%;% normal(mean): 2.08%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08066175
"USGS 08070200 E Fk San Jacinto Rv nr New Caney, TX",30.14523056,-95.12461390,5,"Discharge: 39.02 cfs;Date: 2019-08-31;Percentile: 59.67 %;Class: Normal;% normal(median): 111.49%;% normal(mean): 15.46%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08070200
"USGS 08188590 North end of GBRA Calhoun Canal nr Long Mott,TX",28.50548889,-96.78142780,0,"Discharge: 70.21 cfs;Date: 2019-08-31;Class: Not-ranked;% normal(median): 106.36%;% normal(mean): 115.72%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08188590
"USGS 08085500 Clear Fk Brazos Rv at Ft Griffin, TX",32.93297778,-99.21538890,5,"Discharge: 43.99 cfs;Date: 2019-08-31;Percentile: 65.07 %;Class: Normal;% normal(median): 227.93%;% normal(mean): 20.40%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08085500
"USGS 08178880 Medina Rv at Bandera, TX",29.72383537,-99.07003500,5,"Discharge: 24.82 cfs;Date: 2019-08-31;Percentile: 44.43 %;Class: Normal;% normal(median): 84.65%;% normal(mean): 33.99%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08178880
"USGS 08109700 Middle Yegua Ck nr Dime Box, TX",30.33937764,-96.90470370,5,"Discharge: 2.04 cfs;Date: 2019-08-31;Percentile: 62.32 %;Class: Normal;% normal(median): 174.36%;% normal(mean): 10.56%;",https://waterdata.usgs.gov/tx/nwis/dv?site_no=08109700
